藥品編號,收費編號,藥品英文名,藥品中文名,顏色,形狀,劑型,廠牌名,中文加強描述,英文加強描述,備註
PWP020M,PWP020M     1PC,Zinga,鋅寶,白色,圓形,錠劑,寶齡富錦,有刻痕及PBF 126字樣,scored, imprint with PBF 126,100.09.19
PYA027P,PYA027P     1PC,Chirocaine,開洛凱因,,,注射劑,亞培,,,96.4.21
PBA059M,PBA059M     1PC,Gaster D,蓋舒泰D口溶錠,白色,圓形,錠劑,安斯泰來,有圖案及121字樣,imprint with pattern and 121,
PFD064M,PFD064M     1PC,Doxaben XL,可迅持續性藥效錠,白色,圓形,錠劑,輝瑞,有CXL 4字樣,imprint with CXL4,96.05.07新增
PZA195P,PZA195P     1PC,Myozyme  50mg/vial,,,,注射劑,Genzyme,,,96.05.07新增
PCC136M,PCC136M     1PC,Lindacin,利達信黴素,紅 / 紫色,,鋁箔裝膠囊,信東,有ST 023字樣,imprint with ST 023,96.05.29新增
PEC032M,PEC032M     1PC,Aricept,愛憶欣,乳黃色,圓形,膜衣錠,衛采,兩面分別有ARICEPT及10字樣,imprint with ARICEPT and 10,96.06.05新增
PDA224P,PDA224P     1PC,Velcade,萬科,,,凍晶注射劑,嬌生,藍色瓶蓋,bottle with blue cap,96.06.21  (法國)
PMC058M,PMC058M     1PC,Premelle Lite,普美來,米黃色,長橢圓形,錠劑,惠氏,有W及0.3/1.5字樣,imprint with W and 0.3/1.5,96.06.26建檔
PTA098S,PTA098S     1PC,Augmentin Syrup 457mg/5ml, 35ml/bot,安滅菌糖漿用粉劑,白色,粉末狀,口服懸浮用粉劑,葛蘭素,玻璃瓶身白/紫色標籤,Glass bottle with white/purple label,101.01.09
PVA092E,PVA092E     1PC,Mycomb,美康耳用滴劑,,,點耳液,杏輝,,,2021.11.22
PMF056P,PMF056P     1PC,Bonviva inj.,骨維壯,無色透明,,注射液,羅氏,,solution for i.v. injection,96.06.29更新
PCH096M,PCH096M     1PC,Kaletra (200/50),快利佳錠劑,土黃色,橢圓形,膜衣錠,亞培,有商標及KA字樣,imprint with logo and KA,96.07.04新增
PYA029E,PYA029E     1PC,Lidopin,麻舒痛乳膏,,,外用乳膏,寶齡富錦,鋁軟管,,96.07.25
PLD052E,PLD052E     1PC,Spongostan special,斯龐嘉止血棉,,,,Ferrosan,,,96.7.27
PLD054E,PLD054E     1PC,Spongostan standard,斯龐嘉止血棉,,,,Ferrosan,,,96.7.27
PLB020M,PLB020M JS1 1PC,Folacin,葉酸膜衣錠,土黃色,圓形,膜衣錠,強生,一面有圓形刻痕,One side engraved with round pattern,101.01.19
PMC020M,PMC020M     1PC,Duphaston,得胎隆膜衣錠,白色,圓形,鋁箔裝錠劑,亞培,錠劑上有刻痕及155|155 字樣,scored, engraved with 155|155,102.10.31
PCC160P,PCC160P     1PC,Acemycin,時欣黴素,無色透明,,注射液,永信,,,96.8.3補建 101.9.28
PFA088M,PFA088M     1PC,Diovan 160 mg,得安穩160毫克,土黃色,長橢圓形,錠劑,諾華,有刻痕，印有NVR，和DX字樣,scored，imprinted with "NVR" and DX,96.08.10
PFA090M,PFA090M     1PC,Caduet 5/10,脂脈優,白色,橢圓形,錠劑,輝瑞,有Pfizer及CDT 051字樣,imprint with Pfizer and CGT 051,960824新增
PME070M,PME070M     1PC,Glucomet 5/500,克醣美錠,乳黃色,長圓柱形,膜衣錠,友華生技,有刻痕及03字樣、特殊圖案,scored, imprint with 03 and logo,2020.08.31
PAA032M,PAA032M     1PC,Exjade 125mg,易解鐵可溶錠125毫克,白色,圓形,錠劑,Novartis,有NVR及J125字樣,engraved with NVR and J125,96.09.21新建
PNA022P,PNA022P     1PC,Vaxigrip 0.5mL (自費),巴斯德 0.5mL 流感疫苗 (自費),,,針筒裝注射劑,Sanofi Pasteur,,,106.09.13
PGC064E,PGC064E     1PC,Voren supp,非炎,,,栓劑,永信,,,961005
P5A005P,P5A005P     1PC,Haemate P,貝靈第八凝血因子,,,,ZLB Behring,,,961012
PDA033P,PDA033P     1PC,Cytosar 500mg,賽德薩注射劑500毫克,,,乾粉注射劑,輝瑞,,,2023.03.08
PTA082S,PTA082S     1PC,Ventol,舒喘,無色透明,,口服液劑,瑞安,塑膠瓶透明藥液,Plastic bottle with transparent liquid,100.10.20
PDA232M,PDA232M     1PC,Sutent 12.5mg,紓癌特膠囊12.5毫克,咖啡色,,膠囊,Pfizer,印有pfizer及STN 12.5mg字樣,printed with pfizer and STN 12.5mg,2023.07.24
PGB056M,PGB056M     1PC,Stalevo 100/25/200MG,始立膜衣錠100/25/200公絲,磚紅色,長橢圓形,膜衣錠,諾華,一邊印有LCE 100,Imprint with LCE 100,961205新增
PZA210M,PZA210M XD1 1PC,MetaCu,解銅 膠囊,白色,,膠囊,旭能醫藥,,,2019.11.01
PSA094P,PSA094P     1PC,Zemplar 5mcg/ml,腎骨樂注射液,,,注射液,Hospira,,,970111
PWH024E,PWH024E     1PC,KETOCONAZOLE Cream,必克多黴乳膏,,,外用乳膏,杏輝,,,104.05.15
PSA058P,PSA058P     1PC,Kyorin,俾燐勝,,,注射液,日本杏林,,,970118
PVD024E,PVD024E     1PC,Xalatan,舒而坦 眼藥水,,,點眼液,輝瑞,,,970128
PGG013M,PGG013M     1PC,Zyprexa Zydis,津普速,黃色,圓形,口溶錠,禮來,,,
PYA032P,PYA032P     1PC,LIDOPHRINE,利度膚寧,無色透明,,注射液,東洲化學,,,970227
PMF034M,PMF034M     1PC,Sinclote Capsules "Sinphar" 400mg,"杏輝" 杏骨樂膠囊 400毫克,土黃色,,膠囊,杏輝,有 SP614字樣,Imprint with SP614,970227
PGC056M,PGC056M     1PC,Cold Cap,感冒膠囊,紅/透明,,膠囊,瑞士,印有C48字樣,Imprint with C48,970228
PWN009M,PWN009M     1PC,Stromectol,絲每妥錠,,,錠劑,Merck,,,960310
P6A017M,,Salaflow,泌悅,白色,圓形,膜衣錠,優生,印有YS/SAL字樣,Imprinted with YS/SAL,970310
PGG041M,,Losagen,樂神健,綠色/淡綠色,,膠囊,派頓,印有Patron 815字樣,Imprinted with Patron 815,970311
PIG061P,PIG061P     1PC,,,,,,信東,,,970313
PIG062P,PIG062P     1PC,,,,,,信東,,,970313
PCC305P,PCC305P     1PC,Flumarin 1g,氟黴寧 1g,,,凍晶注射劑,鹽野義,,,970313
PWI042E,PWI042E     1PC,Frotin,服樂淨,,,陰道錠,永信,,,970314
PWK034E,,Acure Gel,愛可凝膠,,,,健亞,,,970314
PCD010M,PCD010M     1PC,FUYOU,膚友,白色,圓形,錠劑,瑞士,印有SWISS字樣,Imprinted with SWISS,970324
PCF032M,PCF032M     1PC,Salazine,撒樂,肉色,長橢圓形,腸溶錠,信東,印有ST/344字樣,Imprinted with ST/344,970326
PME044P,PME044P     1PC,Lantus SoloStar,蘭德仕,,,,賽諾菲安萬特,,,970331
PGD068P,PGD068P     1PC,Fentanyl 2ml (管2),吩坦尼注射液,,,注射劑,管制藥品製藥工廠,,,
PKD046M,PKD046M     1PC,Speedon"N.K.",舒必通,,,,南光,,,970415
PIG063P,PIG063P     1PC,Isotonic NaCl solution,生理食鹽水"信東",,,,信東,,,970421
PWH008E,PWH008E     1PC,Mycosten cream,黴克頓乳膏,,,外用乳膏,杏輝,,,97.04.22新增
PME072M,PME072M     1PC,Januvia,佳糖維,棕色,圓形,膜衣錠,Merck,印有277字樣,Imprinted with 277,970423
PZA214P,PZA214P     1PC,Humira,復邁,,,,亞培,,,970423
PCF005P,PCF005P     1PC,Sevatrim,雪白淨,,,注射液,瑞士,安瓿,,970423
PID133P,,Lipovenoes MCT,立得能,白色,,,費森尤斯卡比,,,970506
PBA061M,PBA061M     1PC,Denosin,停敏,白色,圓形,錠劑,美時,印有LO及33字樣,Imprint with LO/33,2022.04.27
PKD052S,PKD052S     1PC,Lactul,樂多,淡黃色,,糖漿劑,杏輝,塑膠瓶身黃色藥液,Plastic bottle with yellow liquid,100.10.20
PKF036P,PKF036P     1PC,Otril I.V. inj.,嘔速停靜脈注射劑,,,注射劑,東洋,,,103.04.01
PUA077E,PUA077E     1PC,Scodyl,速可淨,,,,東光吉華,,,970522
PMC005M,PMC005M     1PC,Estromon,伊使蒙,淡粉紅色,圓形,錠劑,生達,印有S字樣,Imprint with "S",105.01.06
PGA002M,PGA002M     1PC,Tiabine,癲爾賓,白色,長橢圓形,膜衣錠,信東,印有ST 252字樣,Imprint with ST 252,970530
PGC071E,,Sporton Gel,速消痛,,,外用凝膠,世紀,,,970530
PCH098M,PCH098M     1PC,Sebivo,喜必福,白色,長橢圓形,膜衣錠,Novartis,印有LDT字樣,Imprint with LDT,970530
PID044P,PID044P     1PC,Lipofundin MCT/LCT,力保肪寧,白色,,注射劑,柏朗,,,970604
PWC042E,PWC042E     1PC,Tri-Luma,汰膚斑乳膏,,,外用乳膏,高德美,,,970604
PFE009P,PFE009P     1PC,Posintin,保心丁注射液,黃色,,注射液,南光,,,970604
PZA020M,,Noobica,諾必佳,黃/橘色,,膠囊,優生,印有YS  NB字樣,Imprint with YS NB,970606
PGB058M,PGB058M     1PC,Requip 0.25mg,力必平,白色,五角形,膜衣錠,葛蘭素,一面印有4890,一面印有SB字樣,Imprint with 4890/SB,970610
P6A044M,,Amizide,安立,粉肉色,圓形,錠劑,生達,印有三角形標示，一面有刻痕,Scored,engraved with triangle-shape,9705610
PMA052E,,Obucort Swinghaler,保咳淨舒穩樂,,,粉狀吸入劑,大塚,,,960624新增
PFA096M,PFA096M     1PC,Co-Diovan 160/12.5mg,可得安穩160/12.5膜衣錠,棗紅色,長橢圓形,膜衣錠,諾華,刻有HHH及C6字樣,engraved with HHH and C6,970625
PCC309M,PCC309M     1PC,Fucidin,服即淨,白色,長橢圓形,膜衣錠,LEO,,,970626
P6A508M,,Ebixa,憶必佳,白色,橢圓形,,Lundbeck,有刻痕,Scored,970626
PGG016P,PGG016P     1PC,Zyprexa,金普薩,,,,禮來,,,970709
PQB044E,PQB044E     1PC,Butanyl,必坦寧,透明,,吸入用液劑,信東,,,100.09.19
PGG002M,PGG002M JD1 1PC,Kinax,景安寧錠,淡粉紅色,橢圓形,錠劑,景德委託寶齡富錦,一面刻有"201"，另一面刻有"S/ K" 字樣,Tablet  with "201"on one side and "S/K" on the other side.,105.09.05
PKD050M,PKD050M     1PC,Through,便通樂,棕色,圓形,膜衣錠,中美兄弟,有刻痕,Scored,970710
PIG064P,PIG064P     1PC,D5S 500ml/bot(玻璃瓶),葡萄糖食食鹽水,,,,信東,,,970804新增
PKD020S,,Lactul,樂多,,,,杏輝,,,970804新增
PGI020M,,Halcion,酣樂欣,淡藍色,橢圓形,錠劑,輝瑞,有刻痕與 UPJOHN 17字樣,scored, imprint with UPJOHN 17,970811
PMA027P,PMA027P     1PC,Solu-medrol 500mg,舒汝美卓佑注射劑,,,乾粉注射劑,輝瑞,灰色瓶蓋,vial with gray cap,990827
PQB034M,PQB034M     1PC,Theolin S.R.,息寧,藍色,長橢圓形,,培力,印有PL及T12,Imprinted with T12&PL,970819新增
PED052M,PED052M     1PC,Detrusitol SR,得舒妥持續性藥效膠囊,藍色,,膠囊,輝瑞,印有白色符號及4字樣,imprinted with white symbol and 4,970826
PED056M,PED056M     1PC,Vesicare 5mg,衛喜康,淡黃色,圓形,鋁箔裝錠劑,安斯泰來,印有150字樣,Imprinted with 150,970828新增
PCD030P,PCD030P     1PC,Mycamine,米開民,,,乾粉注射劑,安斯泰來,,,970828
PCH100M,PCH100M     1PC,Kivexa,克為滋,橘色,長橢圓形,鋁箔裝錠劑,葛蘭素,刻有GS/FC2字樣,engraved with GS/FC2,970828新增
PQB048E,PQB048E     1PC,Combivent UDV,冠喘衛,,,吸入用液劑,百靈佳,,,970911
PVD042E,PVD042E     1PC,Combigan oph soln,康皕庚,,,眼藥水,愛力根,,,970911
PDA219M,PDA219M     1PC,TS-1 20mg,愛斯萬膠囊,白色,,鋁箔裝膠囊,東洋,有TC442字樣,imprinted with TC442,970916
PDA235M,PDA235M     1PC,Sprycel 50mg,柏萊膜衣錠 50 毫克,白色,橢圓形,錠劑,必治妥,有528及BMS字樣,engraved with 528 and BMS,970916
PDA236M,PDA236M     1PC,Sprycel 20mg,柏萊膜衣錠 20 毫克,白色,圓形,錠劑,必治妥,有527及BMS字樣,engraved with 527 and BMS,970916
PGG058M,,Solian,首利安,白色,圓形,錠劑,賽諾菲聖德拉堡,有AMI 200字樣,imprint with AMI 200,971003新增
PCD008M,PCD008M     1PC,Fuyou 125mg,膚友,白色,圓形,錠劑,瑞士,十字刻痕,quadrisect scored,971006
PLA038P,PLA038P     1PC,Voluven 6%,量能,,,,費森尤斯卡比,,,971006
PKD004M,PKD004M MD1 1PC,Bisadyl 5mg,秘瀉樂腸溶錠 5毫克,橘色,圓形,腸溶膜衣錠,明德,,,2023.08.15
PDA070M,PDA070M     1PC,Nolvadex,諾瓦得士,白色,圓形,錠劑,阿斯特捷利康,印有NOLVADEX 10字樣,Imprinted NOLVADEX 10,971007
PGH025M,PGH025M     1PC,Strattera 25mg,思銳膠囊25mg,淺藍 / 白色,,膠囊,禮來,印有Lilly 3228及25mg,imprinted with Lilly 3228 and 25mg,971015
PIG066M,PIG066M     1PC,Renagel,磷能解,白色,橢圓形,膜衣錠,中外,印有RENAGEL 800字樣,Imprint with RENAGEL 800,971016
PZA202M,,Equoral 100mg,賽卜林,咖啡色,長橢圓形,軟膠囊,Ivax,印有100mg字樣,imprinted with 100mg,971016
PZA201M,PZA201M     1PC,Equoral 25mg,賽卜林,乳黃色,圓卵形,軟膠囊,Ivax,印有25mg字樣,imprinted with 25mg,971016新增
PCC311P,PCC311P     1PC,Tienam 500mg,泰寧,,,乾粉注射劑,默沙東,,,971018新增
PTA100S,PTA100S     1PC,Trileptal 6%,除癲達口服懸浮液,灰白至紅棕色,,口服懸浮液,諾華,褐色玻璃瓶白色瓶蓋,Brown glass bottle with white cap,100.10.20
PNA041P,PNA041P     1PC,Tetnaus toxoid"kuo kwang",明礬沈澱破傷風類毒素,,,,國光,注射劑,,971024新增
PWL092E,PWL092E     1PC,Sulfasil cream 1% 250gm,灼膚星乳膏250gm,白色,,外用乳膏,榮民,,,971114
PFE050P,PFE050P     1PC,Tractocile,孕保寧注射劑,,,注射劑,Ferring,,,971208
PMC010M,PMC010M     1PC,Estrade,益斯得錠,白色,圓形,錠劑,健喬信元,錠劑上刻有"SYG"及"2"字樣,Tablet graved with "SYG" and "2",980107
PCC004M,PCC004M ST1 1PC,Amoxicillin 250mg,安謀黴素膠囊,紅色/黃色,,膠囊,信東,印有ST、474及250mg字樣,imprinted with ST, 474 and 250mg,2021.07.08
PGD054M,PGD054M PD1 1PC,Tramtor,頓痛特膠囊,綠色/淡綠色,橢圓形,膠囊,派頓,印有Patron 602字樣,imprinted with Patron 602,2022.03.17
PFA040M,,Cardolol 40mg,心康樂錠,淡紅紫色,圓形,錠劑,榮民,有藥廠標記及309字樣,engraved with logo and 309,980119
PED036M,,Trancolon,特良高朗膜衣錠,粉紅色,圓形,膜衣錠,杏輝,有434字樣,engraved with 434,980119
PGA074M,,Topinmate 100mg,妥品美錠,白色,圓形,錠劑,美時,有LO及26字樣,engraved with LO and 26,980211
PGF054M,,pms-Mirtazapine,緩憂錠,紅棕色,橢圓形,膜衣錠,Pharmascience,一面有刻痕及30字樣，另一面有MIR字樣,scored, engraved with 30 and MIR,980120
PDA220M,PDA220M     1PC,TS-1 25mg/cap,愛斯萬膠囊25毫克,橘/白色,,鋁箔裝膠囊,東洋,有TC443字樣,imprinted with " TC 443",980123
PGF058S,PGF058S     1PC,CenZoft conc. sol'n,聖憂復液,,,口服液劑,晟德,,,2023.08.23
PMD006P,PMD006P     1PC,Pregnyl 5000IU,保健寧注射劑,,,注射劑,歐嘉隆,,,980211
PFC066M,PFC066M     1PC,Vytorin 10/20,維妥力錠,白色,長橢圓形,錠劑,默沙東,刻有312字樣,engraved with 312,980211
PFA098M,,Coaprovel,可普諾維膜衣錠,桃紅色,橢圓形,膜衣錠,賽諾菲,一面刻有心形圖案，另一面刻有數字2875,imprinted with Heart-shaped pattern, and 2875,980224
PVA100E,PVA100E     1PC,Nasonex aq. nasal spray,內舒拿水溶性鼻用噴液劑,,,鼻用噴液劑,先靈葆雅,,,980305
PYA036E,PYA036E     1PC,Lidopat Patch 5%,遠疼貼貼片,,,貼片,德山,,,2022.05.20
PNA112S,PNA112S     1PC,Rotarix,羅特律輪狀病毒疫苗,無色透明,,口服液劑,葛蘭素,針筒裝透明藥液,Transpareny liquid in pre-syringe,100.10.20
PDA242M,PDA242M     1PC,Certican 0.25mg,卓定康錠,白色,圓形,錠劑,Novartis,有NVR及C字樣,imprinted with NVR and C,980401
PDA245M,PDA245M     1PC,Certican 0.5mg,卓定康錠,白色,圓形,錠劑,Novartis,刻有NVR及CH字樣,imprinted with NVR and CH,980401
PVA096E,PVA096E     1PC,Cravit oph. soln,可樂必妥眼藥水,,,眼藥水,Santen,粉紅色瓶蓋,pink cap,980401
PFE001M,,Ecycle 16mg,耳循膜衣錠,白色,圓形,膜衣錠,應元化學,刻有Y.P及684字樣,imprinted with Y.P and 684,980407
PZA220M,PZA220M     1PC,Champix 0.5mg,戒必適膜衣錠,白色,長橢圓形,膜衣錠,輝瑞,刻有 CHX 0.5及Pfizer字樣,imprinted with CHX 0.5 and Pfizer,980416
PZA222M,PZA222M     1PC,Champix 1.0mg,戒必適膜衣錠,淡藍色,長橢圓形,膜衣錠,輝瑞,刻有CHX 1.0及Pfizer字樣,imprinted with CHX 1.0 and Pfizer,980416
PZA216M,PZA216M     1PC,Revatio,瑞肺得膜衣錠,白色,圓形,膜衣錠,輝瑞,一面印有Pfizer字樣,另一面印有RVT20字樣,Imprinted with Pfizer and PVT20,980424
PMA007E,PMA007E     1PC,Duasma HFA,帝舒滿,,,定量噴霧液,健喬信元,,,98.4.28
PIG068M,PIG068M     1PC,Fosrenol 750mg,福斯利諾咀嚼錠,米白色,圓形,咀嚼錠,Shire,刻有S405 750字樣,imprinted with S405 750,980430
PED010M,,Genxate,尿適膜衣錠,黃綠色,圓形,膜衣錠,優生,刻有菱形內有Y.S.字樣,imprinted with diamond and Y.S.,980430
PTA001S,PTA001S     1PC,Poly baby,寶兒樂,,,口服滴劑,廣欣/羅得,白色瓶身附滴管,White bottle with dropper,100.08.18
PWK038E,PWK038E     1PC,Differin cream,痘膚潤乳霜,,,外用乳膏,Galderma,,,980519
PZA184P,PZA184P     1PC,Varilrix,美瑞克,,,,葛蘭素,注射劑,,980603
PME076P,PME076P     1PC,Humalog Mix50,優泌樂-混合型50,,,注射液,禮來,灰色筆身、橘色 按鈕,Grey pen with Orange button,980604
PMC046M,PMC046M     1PC,Havina,伴樂娜膜衣錠,白色,圓形,膜衣錠,健喬信元,刻有SYG 288字樣,imprinted with SYG 288,980708
PGF056M,,Venforspine XR,復鬱平,肉色,長橢圓形,鋁箔裝膠囊,聯亞生技,有 EP006 字樣,imprint with EP006,98.07.22
PGF066M,PGF066M     1PC,Seroxate CR 12.5mg,克憂果持續性藥效錠 12.5毫克,銘黃色,圓形,鋁箔裝錠劑,GSK,有 「GSK」 與 「12.5」字樣,imprint with 「GSK」 & 「12.5」,2023.06.17
PGE010E,PGE010E     1ML,Ultane,西福銳,,,吸入用液劑,亞培,,,103.11.27
PCH105M,PCH105M SD1 1PC,Deherp,庖寧錠,淡藍色,六邊形,鋁箔裝錠劑,生達,有 TD15字樣,Imprint with TD15,2022.02.22
PFA093M,,Exforge 5/80,易安穩 5/80,土黃色,圓形,鋁箔裝錠劑,諾華,有 NV及NVR字樣,Imprint with NV & NVR,
PWC026E,,Futusoa,膚達爽乳膏（壽元）,,,,壽元,,,
PZA004M,PZA004M     1PC,Clomiphene(永信),喜妊錠,淡黃色,圓形,鋁箔裝錠劑,永信,,,
PED040M,,Blasec,膀泄克錠,藍色,圓形,錠劑,順生,有刻痕,Scored,
PCC322P,PCC322P     1PC,Tatumcef powder for iv inj.,祐坦賜福乾粉注射劑,,,乾粉注射劑,中國化學,,,
PEC034M,PEC034M     1PC,Evoxac,愛我津,白色,,膠囊,三共,有Evoxac 30mg字樣,Imprint with Evoxac 30mg,
PAA036P,PAA036P     1PC,Leucovorin,若克瘤,,,注射劑,Pharmachemie,,,
PBA063M,,U-Chu Ebastin 10mg,過敏貝斯錠,白色,長橢圓形,鋁箔裝錠劑,五洲,有 UC 31字樣,Imprint with UC 31,
PFC022M,PFC022M     1PC,Simvahexal,喜克脂膜衣錠,豬肝色,長橢圓形,鋁箔裝錠劑,諾華,有 刻痕 及 SIM 40字樣,Imprint with SIM 40,
PGG044M,PGG044M     1PC,Prochlorperazine強生,蘋果酸丙氯陪拉辛錠,白色,圓形,錠劑,強生,一面有刻痕，另一面刻有"JCP G3",Tablet one side scored, the other side imprinted with "JCP G3",101.06.05
PVG006E,PVG006E     1PC,Epirenin,妙舒安液,,,溶液,黃氏製藥,,,990927
PIC004M,PIC004M     1PC,Acetazolamide人人,乙醯偶氮胺錠,白色,圓形,錠劑,人人化學,有刻痕及人人字樣,Scored & Imprint with 人人,
PMC065M,PMC065M     1PC,Premarin 0.625mg,普力馬林錠,豬肝色,橢圓形,鋁箔裝錠劑,惠氏,有0.625字樣,Imprint with 0.625,
PIC038M,PIC038M     1PC,Amizide,安立壓錠,淡橘色,圓扁形,錠劑,生達,有刻痕,,2021.08.23
P6A067M,,Carlipin,糖利平,白色,圓形,錠劑,永信,印有YSP 6的字樣,marked YSP 6 on one side,990420
PFA095M,PFA095M     1PC,Hyzaar 100/12.5mg,好悅您膜衣錠,白色,長橢圓形,鋁箔裝錠劑,默沙東,有745字樣,engraved with 745,
PIC006M,PIC006M     1PC,Busix,必得寧錠,白色,圓形,錠劑,信東,有刻痕及ST / 049 字樣,Scored and graved with ST / 049,
PFA057P,PFA057P     1PC,Chenday,壓泰定,,,注射劑,台裕,,,
PCC040M,PCC040M     1PC,Diclocin,德可信,黃/藍色,,膠囊,景德,有 KDM-DC 250字樣,Imprinted with KDM-DC 250,100.10.27
PMF062P,PMF062P     1PC,Aclasta,骨力強注射液,,,注射劑,諾華,,,
PWK040E,,Eurotech Pimple Cream,歐婷理痘乳膏,,,外用乳膏,永信,,,
PGC102P,PGC102P     1PC,Dynastat,得術泰注射劑,,,注射劑,輝瑞,,,
PDA022P,PDA022P     1PC,Kemoplat 10mg,克莫抗癌,,,注射劑,Fresenius Kabi,,,
PZA033P,PZA033P     1PC,Hya-joint  25mg/2.5mL,海捷特關節腔注射劑,,,注射劑,科妍生物科技,針筒裝,,2023.08.30
PVA070E,PVA070E     1PC,Trusopt,舒露瞳點眼液劑,,,眼藥水,MSD,,,102.06.28
PDA023P,PDA023P FK1 1PC,Kemoplat 50mg,克莫抗癌,,,注射劑,Fresenius Kabi,,,105.10.12
PCG020M,PCG020M     1PC,Uroprin,攸汝琳路必淨糖衣錠,紫色,圓形,糖衣錠,永信,,,2022.07.22
PDA248P,PDA248P     1PC,Epicin 50mg/25mL,益彼欣注射液,,,注射劑,東洋,,,2018.01.07
PDA247P,PDA247P     1PC,Epicin 10mg,益彼欣注射液,,,注射劑,東洋,,,2019.01.07
PIC016M,PIC016M     1PC,Uretropic,通舒錠,白色,圓形,鋁箔裝錠劑,杏林新生,有 TKP  / 020 字樣,engraved with TKP / 020,2015.11.10
PWC045E,PWC045E     1PC,Flucort-F ointment 0.025%,膚潤康益福軟膏,,,外用軟膏,台灣田邊,,,2023.04.11
PGG071M,PGG071M     1PC,Invega ER 3mg,思維佳持續性藥效錠 3毫克,白色,長圓柱形,持續性藥效錠,Janssen,印有PAL 3,imprinted with PAL 3,990107
PQB015E,PQB015E     1PC,Berotec N,備勞喘定量噴霧液,,,定量噴霧液,百靈佳,,,990112
PLB048P,PLB048P     1PC,Mircera 100mcg,美血樂針筒裝注射劑 100mcg,,,注射液,羅氏,針筒裝,外盒左邊及唧筒為藍色,syringe pump is blue,980114
PLB050P,PLB050P     1PC,Mircera 50mcg,美血樂針筒裝注射劑 50mcg,,,注射液,羅氏,針筒裝,外盒左邊及唧筒為黃色,syringe pump is yellow,980114
PVI022E,PVI022E     1PC,Restasis 30'/pc,麗眼達眼用乳劑,,,眼用乳劑,愛力根,,,990122
PGG012M,PGG012M     1PC,Zonin,柔靈平糖衣錠,白色,圓形,糖衣錠,瑞士,,,990122
PDA249M,PDA249M     1PC,Tasigna,泰息安膠囊,黃色,,鋁箔裝膠囊,Novartis,印有NVR TKI字樣,imprinted with NVR TKI,101.05.29
PIC020P,PIC020P     1PC,Rosis IV inj,樂泄靜脈注射液,,,注射液,榮民,棕色瓶上有淺灰藍色點,brown ampule with powder blue spot,990209
PBA013M,PBA013M     1PC,Cimetin,治潰淨錠,淡綠色,圓形,錠劑,強生,刻有J.C.P字樣,engraved with J.C.P,990209
PME004M,,Litangen,理糖淨錠,白色,圓形,錠劑,明大,刻有m.T及120字樣,marked m.T and 120 on one side,990210
PME090M,PME090M     1PC,Amaryl M 2/500,美爾胰錠,白色,長橢圓形,錠劑,Handok,有刻痕及HD25字樣,scored and engraved with HD25,990211
PJA024P,,Urokinase-GCC 250,000IU,"韓國綠十字"血栓溶素注射劑,,,凍晶注射劑,韓國綠十字,橘色瓶蓋,vial with orange cap,990219
PFD030M,,Minipress 1mg,脈寧平錠,粉橘色,長橢圓形,錠劑,輝瑞,有刻痕及MNP 1字樣,scored and engraved with MNP 1,990219
PMA018P,PMA018P ZD1 1PC,Mepron powder for inj.,美普隆乾粉注射劑,,,乾粉注射劑,政德,橘色瓶蓋,vial with orange cap,2019.11.26
PAA038M,PAA038M     1PC,Kremezin,克裏美淨細粒,,,顆粒,吳羽,,,990302
PDA201P,PDA201P     1PC,Erbitux,爾必得舒注射液,,,注射液,Merck,灰色瓶蓋,vial with gray cap,990302
PFA102M,PFA102M     1PC,Betaloc Zok 25mg,舒壓寧控釋錠,白色,圓卵形,持續性藥效錠,阿斯特捷利康,兩邊有切割線及一邊有A/β字樣,scored on both sides and marked A/βon one side,990316
PFA060M,PFA060M     1PC,Fonosil,壓速利錠,白色,菱形,錠劑,生達,刻有STD及275字樣,marked STD on one side, and 275 on the other side,990323
P4A080P,P4A080P     1PC,Pentaxim公費(Sanofi Pasteur),五合一疫苗"巴斯德",,,注射劑,賽諾菲安萬特,,,104.08.25
PZA043M,PZA043M     1PC,Xatral XL,扎特持續性藥效錠,黃/白/黃,圓形,持續性藥效錠,賽諾菲溫莎,,,990401
PID140P,PID140P     1PC,SMOFlipid 250ml,斯莫脂肪靜脈輸注液,,,靜脈輸注液,費森尤斯卡比,,,990401
PWP022E,PWP022E     1PC,Protopic oint 0.1% , 5 gm,普特皮軟膏0.1% , 5 gm,,,外用軟膏,LEO,,,990401
PDA250P,PDA250P FK1 1PC,Irinotel,癌治佳靜脈輸注濃縮液,,,靜脈輸注液,費森尤斯卡比,褐色玻璃瓶身藍色瓶蓋,Brown glass vial with blue cap,101.09.13
PVD045E,PVD045E     1PC,Duotrav oph soln,複方舒壓坦點眼液,,,眼藥水,愛爾康,白色瓶身及瓶蓋,white bottle and cap,990420
PMB018P,PMB018P     1PC,Nebido inj.,耐必多注射劑,,,注射劑,拜耳,棕色安瓿上有棕紅色環,,990503
PGC105M,PGC105M     1PC,Arcoxia,萬克適錠,海洋綠,不規則三角形,錠劑,MSD,兩面分別有ARCOXIA 60及200字樣,marked ARCOXIA 60 on one side, and 200 on the other side,990528
PCD036P,PCD036P     1PC,Eraxis for inj.,助黴飛注射劑,,,乾粉注射劑,輝瑞,乾粉小瓶為灰色瓶蓋,vial with gray cap,990528
PFA108M,,Micardis Plus 40/12.5mg,複必康平錠,白色與粉紅色,橢圓形,錠劑,百靈佳,刻有特殊標誌及H4字樣,marked logo and H4 on one side,990603
