藥品編號,收費編號,藥品英文名,藥品中文名,顏色,形狀,劑型,廠牌名,中文加強描述,英文加強描述,備註
PGG036P,PGG036P GS1 1PC,Haldol,好度注射液,,,注射液,嬌生,安瓿上有2圈綠色環,ampule with green ring,
PGG048P,PGG048P     1PC,Novamin,諾安命,,,注射劑,鹽野義/中化,,,104.01.28
PHA012P,,Paparin,罌粟生僉,,,,優良化學,,,970131
PHB004P,PHB004P     1PC,Diagnogreen,循血綠注射劑,,,凍晶注射劑,台灣第一,,,103.12.30
PHK008P,PHK008P     1PC,Lipiodol ultra-fluid,淋皮道卵,,,,古爾貝特,,,
PHK022P,,Diatrizoate meglumine,安吉格那芬,,,,Schering,,,
PHK038P,,Conray,,,,,,,,
PHK040P,,Optiray 350,,,,,Tyco,,,
PHK044P,,Optiray 350,,,,,Tyco,,,
PHK050P,,Optiray 350,,,,,Tyco,,,
PHQ004P,PHQ004P     1PC,Protirelin,TRH注射液,,,,田邊,注射劑,,
PIB008P,PIB008P     1PC,Rolikan,樂麗康,,,注射液,信東,,,101.12.21
PIC012P,,Burinex,必瑞,,,,LEO,,,
PID017P,PID017P     1PC,D5w 1,000ml /bot (IVF),葡萄糖5%,,,,永豐,,,
PID020P,PID020P     1PC,Dextrose (IVF) 10% 500ml/bot,葡萄糖,,,,永豐,,,
PID052P,,Lipofundin MCT/LCT,力保肪寧,,,,柏朗,,,
PID070P,PID070P FK1 1PC,Addaven,微達穩,,,注射劑,Fresenius Kabi,,,106.12.19
PIG012P,PIG012P     1PC,D0.225s 1,000ml /bag [IVF],葡萄糖5%食鹽水0.225%,,,,永豐,,,
PIG013P,PIG013P     1PC,D0.225S 500ml /bag [IVF],葡萄糖5%食鹽水0.225%,,,,永豐,,,
PID012M,PID012M     1PC,Ketosteril,吉多利錠,黃色,長條形,錠劑,Fresenius Kabi,,,2020.04.28
PFA045M,,Sotalex,心達可,白色,圓形,錠劑,必治妥,,,
PZA044M,PZA044M     1PC,Propecia,柔沛,咖啡色,八角形,膜衣錠,默沙東,有Propecia字樣,imprint with Propecia,
PFA022M,,Disopyramide,心達寧,黃/綠色,,膠囊,永新,印有S/C01字樣,Imprinted with S/C01,970317
PAA009P,PAA009P     1PC,BAL,,,,,,,,
PAA016P,PAA016P     1PC,Pampara,把母巴拉注射液,,,注射劑,壽元,,,
PAA030P,PAA030P     1PC,Anexate,安易醒,,,,羅氏,,,
PCC024P,PCC024P     1PC,Ampolin,安博黴素,,,注射劑,永豐,,,
PCC030P,PCC030P     1PC,Retarpen,利達平,,,,Biochemie,,,96.03.19加中文名
PCC044P,,Prostaphlin,撲萄黴素,,,,必治妥,,,
PCC056P,PCC056P     1PC,Penicillin G sodium,芐基青黴素鈉注射劑,,,乾粉注射劑,永豐,,,2022.03.22
PCC100P,PCC100P     1PC,Fortum,復達欣,,,,葛蘭素,,,
PCC102P,PCC102P     1PC,Maxipime,邁菌平,,,乾粉注射劑,必治妥,,,104.01.29
PCC144P,PCC144P     1PC,Erythrocin,威黴素,,,,亞培,注射劑,,
PCC172P,PCC172P ZD1 1PC,Genta-C  80mg/2mL,見大黴素  80mg/2mL,,,注射液,政德,藍色瓶蓋,vial with green cap,2023.05.22
PCC192P,PCC192P     1PC,Streptomycin,鏈黴素,,,注射劑,信東,,,
PCD004P,PCD004P     1PC,Fungizone,防治黴,,,,必治妥,,,
PCD025P,PCD025P     1PC,Diflucan 100mg/50mL,泰復肯靜脈注射劑,,,注射劑,Pfizer,,,2023.06.17
PCE032P,PCE032P     1PC,Rifocin,寧黴素,,,,安萬特,,,
PCH010P,PCH010P     1PC,Cymevene,西美芬,,,注射劑,羅氏,,,
PCH022E,,Virazole,,,,,,,,
PCH030P,PCH030P     1PC,Cytotect,施多特 注射液,,,注射劑,Biotest,,,104.08.31
PCH040M,PCH040M     1PC,Retrovir,立妥威,白色,橢圓形,膠囊,葛蘭素,有Wellcome及Y9C100字樣,imprint with Wellcome& Y9C100,
PCH042M,,Hivid,癒濾,灰色,橢圓形,錠劑,羅氏,有Roche及Hivid 0.75字樣,imprint with Roche & Hivid 0.75,
PCH046M,,Fortovase,服妥美,黃色,橢圓形,軟膠囊,羅氏,有Roche及0246字樣,imprint with Roche & 0246,
PCH050M,PCH050M     1PC,Crixivan,克濾滿,白色,橢圓形,膠囊,默沙東,有CRIXIVAN及 400mg字樣,imprint CRIXIVAN & 400mg,
PCH056P,PCH056P     1PC,Pentam,,,,,,,,
PDA002P,,Imuran,移護寧,,,,葛蘭素,,,
PDA006P,PDA006P     1PC,Adriblastina,速溶艾黴素,,,乾粉注射劑,法瑪西亞,橘色瓶蓋,vial with orange cap,
PDA012P,PDA012P     1PC,Bleocin,撲類惡,,,,日本化藥,,,
PDA014P,PDA014P     1PC,Pharmorubicin,<速溶>泛艾黴素,,,乾粉注射劑,輝瑞,灰色瓶蓋,vial with gray cap,102.03.08
PGB022M,PGB022M     1PC,Comtan,諾康停,棕色,橢圓形,錠劑,諾華,有COMTAN字樣,imprint with COMTAN,
PGC051M,PGC051M     1PC,Cataflam,克他服寧,粉紅色,圓形,錠劑,諾華,有DD與 CG字樣,imprint with DD & CG,
PLC012M,PLC012M     1PC,Coumadin,可邁丁,橘色,圓形,錠劑,必治妥,有COUMADIN / 5字樣,imprint with COUMADIN/5,
PMC001M,,Premarin,普力馬林,綠色,橢圓形,錠劑,惠氏,有PREMARIN字樣,imprint with PREMARIN,
PSA048M,PSA048M     1PC,Neotigason,新定康癬,棕色/米白色,,膠囊,Actavis,有Actavis及10字樣,imprinted with Actavis and 10,980224
PZA009M,PZA009M     1PC,Dostinex,過乳降錠,白色,橢圓形,錠劑,輝瑞,有P/U與 700字樣,imprint with P/U & 700,971223
PGA004M,PGA004M     1PC,Tegretol 200mg,癲通錠 200毫克,白色,圓形,錠劑,Novartis,有CG與 G/K字樣,imprint with CG & G/K,2023.05.25
PGA056M,PGA056M     1PC,Lamictal 5mg,樂命達可溶咀嚼錠5毫克,白色,長圓柱形,錠劑,GSK,兩面分別有 5，GSCL2 字樣,engraved with  5，GSCL2,2023.05.02
PGH020M,PGH020M     1PC,Concerta,專思達,淡黃色,橢圓形,錠劑,嬌生,有alza 18字樣,imprint with alza 18,
PEC006M,PEC006M     1PC,Exelon  4.5mg,憶思能 4.5毫克,棕色,,膠囊,諾華,有EXELON / 4.5mg字樣,imprint with EXELON / 4.5mg,2020.07.28
PGA062M,PGA062M     1PC,Neurontin,鎮頑癲,白色,,膠囊,輝瑞,有Neurontin 100mg字樣,imprint with Neurontin 100mg,
PGG055M,PGG055M     1PC,Sulpin,舒復寧,白色,圓形,錠劑,信東,有 S 200字樣,imprint with S 200,
PHC012M,,Dextrose powder,,白色,,粉末,,,,
PHC014M,,Dextrose powder,,白色,,粉末,,,,
PCE002M,PCE002M     1PC,Rifater,衛肺特,磚紅色,圓形,錠劑,賽諾菲安萬特,,,
PCG004M,PCG004M     1PC,Urintestin,優寧,白色,圓形,錠劑,榮民,有750字樣,imprint with 750,
PDA024M,PDA024M     1PC,Endoxan,癌德星,白色,圓形,錠劑,百特,鋁箔裝,,
PGA020M,,Zarontin,,橘紅色透明,,軟膠囊,Parke-davis,,,
PGG051M,PGG051M     1PC,Flurazin,富祿靜,藍色,圓形,錠劑,強生,有JCP5字樣,imprint with JCP5,
PUA040M,PUA040M     1PC,Zymafluor 0.25mg,小哈氟 氟錠,白色,圓形,錠劑,Rottapharm,,,2022.12.16
PKF040M,PKF040M     1PC,Gastro-timelets,胃斯妥,黃/橘色,,膠囊,Temmler Pharma GmbH,,,105.12.09
PZA001M,PZA001M     1PC,Arava,艾炎寧,白色,圓形,錠劑,安萬特,有ZBN字樣,imprint with ZBN,
PMB008M,PMB008M     1PC,Methyltestosterone,甲基睪丸素,白色,圓形,錠劑,強生,有 I / 5 字樣,engraved "I/5",
PMC034M,,Premelle 5,普力馬林-合連續錠,淡藍色,橢圓形,錠劑,惠氏,有0.625/5字樣,imprint with 0.625/5,
PMC039M,PMC039M     1PC,Utrogestan,優潔通,米白色,圓形,軟膠囊,Besins,,,95.3.21台灣東洋
PDA064M,PDA064M     1PC,Arimidex,安美達,白色,圓形,錠劑,阿斯特捷利康,有 Adx 1與 A字樣,imprint with Adx 1 & A,
PFA043M,,Corgard,康加爾多,白色,圓形,錠劑,必治妥,有刻痕與 SQUIBB 241字樣,scored, imprint with SQUIBB 241,
PFD029M,PFD029M     1PC,Loniten,洛寧,白色,圓形,錠劑,輝瑞,有刻痕及一面有U及137 字樣；另一面有10字樣,imprint with U/137 & 10,100.11.01
PGA060M,PGA060M     1PC,Depakine chrono,帝拔癲,白色,長橢圓形,持續性藥效錠,賽諾菲聖德拉堡,有刻痕,scored,
PGA064M,,Neurontin,鎮頑癲,米黃色,,膠囊,輝瑞,有Neurontin 300mg字樣,imprint with Neurontin 300mg,
PGB004M,PGB004M     1PC,Biperin,帕金寧,白色,圓形,錠劑,聯邦化學 Union,有UN407與 UNION字樣,imprint with UN & UNION,
PGB014M,PGB014M     1PC,Sinemet,心寧美,黃色,橢圓形,錠劑,默沙東,有刻痕與 650字樣,scored, with  " 650 ",20201102
PGB020M,,Parkryl,巴可癒,白色,圓形,錠劑,美時,有L.O與1字樣,imprint with L.O & "1",
